Response Sequence,Response Times,Correct
4-1-3-2-4,-8.768532833084464-12.210851166862994-12.534516917075962-12.79737791698426-13.131943000014871,True
Response Sequence,Response Times,Correct
4-1-3-2-4,-8.290025332942605--8.290025332942605--8.290025332942605--8.290025332942605--8.290025332942605,True
Response Sequence,Response Times,Correct
1-4-1-3-2,-0.1294557498767972-2.463523750193417-2.910357207991183--6.752242791932076-3.505528791807592,False
Response Sequence,Response Times,Correct
4-1-3-2-4,0.34758075000718236-1.539592667017132--6.678240166977048-2.2020055828616023-2.4400795828551054,True
Response Sequence,Response Times,Correct
3-1-4-2-4,-6.638188582845032-1.9804286253638566-2.346814624965191--6.638188582845032--6.638188582845032,True
Response Sequence,Response Times,Correct
3-2-1-4-3,0.7203712919726968--13.597825333010405-1.706016041804105--13.597825333010405--13.597825333010405,False
Response Sequence,Response Times,Correct
4-2-4-1-4,-3.625246665906161-0.6217310000211-0.8816058747470379-1.196629541926086--22.478112541139126,False
Response Sequence,Response Times,Correct
2-3-4-4-1,1.4814655003137887-1.94734050007537-2.4825192079879344--6.500456166919321-3.411200000438839,True
Response Sequence,Response Times,Correct
4-2-4-3-1,0.6136476658284664-0.9728215001523495--13.927042209077626--13.927042209077626-1.8873166660778224,True
Response Sequence,Response Times,Correct
3-4-2-1-4,0.07849079230800271-0.306038583163172--19.82547429203987--19.82547429203987-2.382226707879454,True
Response Sequence,Response Times,Correct
3-1-4-2-2,-6.707837209105492-1.1740215411409736--6.707837209105492-2.306483875028789-3.966156540904194,False
Response Sequence,Response Times,Correct
1-2-3-4-4,-14.6914370842278--14.6914370842278-1.9622515831142664-4.200160082895309--14.6914370842278,False
Response Sequence,Response Times,Correct
4-2-3-4-1,3.633213124703616--23.819200500380248-4.887575708795339-5.42211158387363-5.926910874899477,True
Response Sequence,Response Times,Correct
2-4-1-3-4,-6.502144333906472--6.502144333906472--6.502144333906472--6.502144333906472-2.6936411252245307,False
Response Sequence,Response Times,Correct
3-4-4-3-1,-3.6674083746038377-0.14511991711333394-0.5667734174057841-1.9744297079741955-2.540862041991204,False
Response Sequence,Response Times,Correct
1-4-4-2-3,-0.01864099968224764-0.4449360412545502-0.794346041046083--19.765593708958477--19.765593708958477,True
Response Sequence,Response Times,Correct
4-1-3-2-4,-5.764481750316918-3.352796708699316--5.764481750316918-4.6044760420918465-4.845502583775669,False
Response Sequence,Response Times,Correct
2-4-4-3-1,-0.13169537484645844--14.627295167185366-0.22923166723921895-0.441472833044827--14.627295167185366,True
Response Sequence,Response Times,Correct
4-1-4-3-2,-0.4093639999628067--0.27141950000077486--0.08703362522646785-0.7408030838705599--19.19108375022188,True
Response Sequence,Response Times,Correct
1-4-3-2-2,-0.03894558269530535--6.051463707815856--6.051463707815856-1.9501195419579744-2.510717249941081,False
Response Sequence,Response Times,Correct
1-4-4-2-2,-12.577215541154146-0.7569242916069925-2.2414309587329626--12.577215541154146-4.8832279169000685,False
Response Sequence,Response Times,Correct
4-3-4-2-4,0.32523783296346664-0.7010261248797178--21.469469625037163--21.469469625037163-2.0117715829983354,False
Response Sequence,Response Times,Correct
4-4-4-4-4,-5.979574542026967-161.90571445785463--5.979574542026967-162.18830074975267-162.3160959999077,False
Response Sequence,Response Times,Correct
1-2-4-3-4,-172.31754058320075-1.6078618746250868-1.9452020837925375-2.2856111247092485-2.5596475838683546,True
Response Sequence,Response Times,Correct
1-4-4-3-2,-0.21150133293122053-0.06310899974778295--178.8885325831361-0.5817012498155236-0.7992398338392377,True
